system:index,0,Site_ID,.geo
0_00000000000000000000,0.6395637685714084,Site_00,"{""type"":""Polygon"",""coordinates"":[[[30.46126974416058,-29.309265872012706],[30.460963616547147,-29.309353610606642],[30.46077687759708,-29.309582608692146],[30.460782355951977,-29.309863557581625],[30.460977916426405,-29.310086887187815],[30.461287290797195,-29.310165498386493],[30.461589821901015,-29.31006873248842],[30.461767521559427,-29.309834328581157],[30.461751087443922,-29.309553704739592],[30.46154693022616,-29.309336304200926],[30.46126974416058,-29.309265872012706]]]}"
0_00000000000000000001,0.7326106498466306,Site_01,"{""type"":""Polygon"",""coordinates"":[[[30.46928720785468,-29.291853082399008],[30.468981132447208,-29.291940820993187],[30.468794425343756,-29.2921698190791],[30.468799902765337,-29.292450767968557],[30.4689954298893,-29.29267409757434],[30.469304751498854,-29.292752708772795],[30.469607231008553,-29.292655942874998],[30.469784900362594,-29.29242153896811],[30.4697684690507,-29.292140915126506],[30.46956434664992,-29.29192351458743],[30.46928720785468,-29.291853082399008]]]}"
0_00000000000000000002,0.5444026269993197,Site_02,"{""type"":""Polygon"",""coordinates"":[[[30.46469433376963,-29.272130478439617],[30.46438831743763,-29.272218217034084],[30.46420164637132,-29.272447215120433],[30.46420712273678,-29.27272816400988],[30.464402612121873,-29.272951493615203],[30.4647118740276,-29.273030104813405],[30.46501429515417,-29.272933338915912],[30.465191930216246,-29.272698935009466],[30.465175502076885,-29.27241831116781],[30.464971419074477,-29.27220091062827],[30.46469433376963,-29.272130478439617]]]}"
0_00000000000000000003,0.5474962095000406,Site_03,"{""type"":""Polygon"",""coordinates"":[[[30.480381451275647,-29.283862373311234],[30.480075399810016,-29.283950111905533],[30.479888707311524,-29.284179109991616],[30.479894184305085,-29.284460058881066],[30.48008969613441,-29.28468338848666],[30.480398993547475,-29.284761999685013],[30.48070144939593,-29.284665233787344],[30.480879104852292,-29.284430829880634],[30.48086267482614,-29.284150206039012],[30.48065856839255,-29.283932805499738],[30.480381451275647,-29.283862373311234]]]}"
0_00000000000000000004,0.5569567359518479,Site_04,"{""type"":""Polygon"",""coordinates"":[[[30.48438572402164,-29.283135539839517],[30.48407967473326,-29.283223278433823],[30.48389298356295,-29.283452276519927],[30.483898460517583,-29.283733225409385],[30.484093970956025,-29.28395655501497],[30.484403266168666,-29.284035166213304],[30.484705719865378,-29.283938400315645],[30.48488337405788,-29.28370399640895],[30.48486694414866,-29.283423372567327],[30.484662839167118,-29.283205972028043],[30.48438572402164,-29.283135539839517]]]}"
0_00000000000000000005,0.6349523624101232,Site_05,"{""type"":""Polygon"",""coordinates"":[[[30.480118364313494,-29.28042440639902],[30.479812323145744,-29.28051214499337],[30.479625636929157,-29.28074114307953],[30.479631113738616,-29.281022091968982],[30.479826618989406,-29.281245421574507],[30.480135905995052,-29.281324032772808],[30.48043835166631,-29.281227266875188],[30.48061600114498,-29.28099286296856],[30.480599571671856,-29.28071223912692],[30.480395472106096,-29.28049483858758],[30.480118364313494,-29.28042440639902]]]}"
0_00000000000000000006,0.5873590985074975,Site_06,"{""type"":""Polygon"",""coordinates"":[[[30.47368388149338,-29.260532356599597],[30.473377899873874,-29.260620095194227],[30.47319124998283,-29.260849093280843],[30.473196725727718,-29.261130042170276],[30.47339219293761,-29.261353371775343],[30.473701419761632,-29.26143198297339],[30.47400380658253,-29.26133521707608],[30.4741814214948,-29.261100813169886],[30.4741649952196,-29.2608201893282],[30.473960935367504,-29.26060278878839],[30.47368388149338,-29.260532356599597]]]}"
0_00000000000000000007,0.6345120251094831,Site_07,"{""type"":""Polygon"",""coordinates"":[[[30.465519267464515,-29.260755311652268],[30.465213285177914,-29.260843050246898],[30.465026634879923,-29.26107204833351],[30.465032110636738,-29.261352997222943],[30.465227578272792,-29.261576326828006],[30.465536805771006,-29.261654938026055],[30.46583919325119,-29.261558172128748],[30.466016808550698,-29.261323768222546],[30.46600038223967,-29.26104314438086],[30.465796321942673,-29.260825743841053],[30.465519267464515,-29.260755311652268]]]}"
0_00000000000000000008,0.4911822199458371,Site_08,"{""type"":""Polygon"",""coordinates"":[[[30.0978663856079,-29.554342525011148],[30.09755951831515,-29.554430263601578],[30.0973723281469,-29.554659261681497],[30.09737781972545,-29.55494021057117],[30.097573852725304,-29.555163540183063],[30.097883974642905,-29.55524215138492],[30.09818723675717,-29.555145385483037],[30.098365365782517,-29.554910981570323],[30.098348891944052,-29.55463035772936],[30.098144241422453,-29.55441295719649],[30.0978663856079,-29.554342525011148]]]}"
0_00000000000000000009,0.6530675709526115,Site_09,"{""type"":""Polygon"",""coordinates"":[[[30.08905074282524,-29.56545014573529],[30.08874384179016,-29.565537884325558],[30.088556631038443,-29.565766882405228],[30.08856212322023,-29.566047831294917],[30.088758177775524,-29.56627116090706],[30.089068333794344,-29.56634977210906],[30.0893716292555,-29.566253006206995],[30.089549777867497,-29.566018602294044],[30.08953330221697,-29.565737978453107],[30.089328629192085,-29.565520577920502],[30.08905074282524,-29.56545014573529]]]}"
0_0000000000000000000a,0.6335948645232993,Site_10,"{""type"":""Polygon"",""coordinates"":[[[30.015653939485528,-29.718869976580145],[30.015346570453975,-29.7189577151682],[30.015159074215706,-29.719186713244365],[30.015164574764146,-29.71946766213418],[30.015360928287137,-29.719690991749918],[30.01567155728016,-29.719769602953914],[30.01597531525293,-29.71967283704944],[30.016153735526185,-29.719438433133064],[30.01613723474289,-29.71915780929251],[30.01593224960377,-29.718940408763547],[30.015653939485528,-29.718869976580145]]]}"
